season,week,star_name,star_age,star_occupation,partner_name,judge_score_1,judge_score_2,judge_score_3,judge_score_4,average_score,rank,eliminated
1,1,John Smith,30,Actor,Jane Doe,7.5,8.0,7.5,8.0,7.75,5,False
1,1,Jane Johnson,25,Singer,John Smith,8.5,8.5,9.0,8.5,8.625,1,False
1,1,Bob Brown,35,Athlete,Mary Davis,7.0,7.5,7.0,7.5,7.25,6,False
1,1,Sarah Lee,28,Dancer,David Wilson,8.0,8.5,8.0,8.5,8.25,3,False
1,1,Michael Chen,40,Businessman,Emma Taylor,6.5,7.0,6.5,7.0,6.75,7,True
1,2,John Smith,30,Actor,Jane Doe,8.0,8.5,8.0,8.5,8.25,4,False
1,2,Jane Johnson,25,Singer,John Smith,9.0,9.0,9.5,9.0,9.125,1,False
1,2,Bob Brown,35,Athlete,Mary Davis,7.5,8.0,7.5,8.0,7.75,5,False
1,2,Sarah Lee,28,Dancer,David Wilson,8.5,9.0,8.5,9.0,8.75,2,False
1,3,John Smith,30,Actor,Jane Doe,8.5,9.0,8.5,9.0,8.75,2,False
1,3,Jane Johnson,25,Singer,John Smith,9.5,9.5,10.0,9.5,9.625,1,False
1,3,Bob Brown,35,Athlete,Mary Davis,8.0,8.5,8.0,8.5,8.25,3,True
1,4,John Smith,30,Actor,Jane Doe,9.0,9.5,9.0,9.5,9.25,2,False
1,4,Jane Johnson,25,Singer,John Smith,9.5,10.0,9.5,10.0,9.75,1,False
1,5,John Smith,30,Actor,Jane Doe,9.5,10.0,9.5,10.0,9.75,1,False
1,5,Jane Johnson,25,Singer,John Smith,9.0,9.5,9.0,9.5,9.25,2,True
2,1,Jerry Rice,40,Football Player,Tina Johnson,7.0,7.5,7.0,7.5,7.25,6,False
2,1,Bobby Bones,35,Radio Host,Sarah Miller,6.5,7.0,6.5,7.0,6.75,7,False
2,1,Emma Stone,28,Actress,Michael Chen,8.5,9.0,8.5,9.0,8.75,2,False
2,1,Tom Hanks,55,Actor,Emily Davis,7.5,8.0,7.5,8.0,7.75,4,False
2,1,Selena Gomez,29,Singer,David Wilson,9.0,9.5,9.0,9.5,9.25,1,False
2,1,Dwayne Johnson,40,Actor,Stephanie Lee,8.0,8.5,8.0,8.5,8.25,3,False
2,1,Kate Middleton,38,Royal,Chris Brown,7.5,8.0,7.5,8.0,7.75,5,False
2,2,Jerry Rice,40,Football Player,Tina Johnson,7.5,8.0,7.5,8.0,7.75,5,False
2,2,Bobby Bones,35,Radio Host,Sarah Miller,7.0,7.5,7.0,7.5,7.25,6,False
2,2,Emma Stone,28,Actress,Michael Chen,9.0,9.5,9.0,9.5,9.25,1,False
2,2,Tom Hanks,55,Actor,Emily Davis,8.0,8.5,8.0,8.5,8.25,3,False
2,2,Selena Gomez,29,Singer,David Wilson,8.5,9.0,8.5,9.0,8.75,2,False
2,2,Dwayne Johnson,40,Actor,Stephanie Lee,7.5,8.0,7.5,8.0,7.75,4,False
2,2,Kate Middleton,38,Royal,Chris Brown,6.5,7.0,6.5,7.0,6.75,7,True
2,3,Jerry Rice,40,Football Player,Tina Johnson,8.0,8.5,8.0,8.5,8.25,4,False
2,3,Bobby Bones,35,Radio Host,Sarah Miller,7.5,8.0,7.5,8.0,7.75,5,False
2,3,Emma Stone,28,Actress,Michael Chen,9.5,10.0,9.5,10.0,9.75,1,False
2,3,Tom Hanks,55,Actor,Emily Davis,8.5,9.0,8.5,9.0,8.75,2,False
2,3,Selena Gomez,29,Singer,David Wilson,9.0,9.5,9.0,9.5,9.25,3,False
2,3,Dwayne Johnson,40,Actor,Stephanie Lee,7.0,7.5,7.0,7.5,7.25,6,True
2,4,Jerry Rice,40,Football Player,Tina Johnson,8.5,9.0,8.5,9.0,8.75,3,False
2,4,Bobby Bones,35,Radio Host,Sarah Miller,8.0,8.5,8.0,8.5,8.25,4,False
2,4,Emma Stone,28,Actress,Michael Chen,9.5,10.0,9.5,10.0,9.75,1,False
2,4,Tom Hanks,55,Actor,Emily Davis,9.0,9.5,9.0,9.5,9.25,2,False
2,4,Selena Gomez,29,Singer,David Wilson,8.5,9.0,8.5,9.0,8.75,3,False
2,5,Jerry Rice,40,Football Player,Tina Johnson,9.0,9.5,9.0,9.5,9.25,2,False
2,5,Bobby Bones,35,Radio Host,Sarah Miller,8.5,9.0,8.5,9.0,8.75,3,False
2,5,Emma Stone,28,Actress,Michael Chen,10.0,10.0,10.0,10.0,10.0,1,False
2,5,Tom Hanks,55,Actor,Emily Davis,8.0,8.5,8.0,8.5,8.25,4,True
2,6,Jerry Rice,40,Football Player,Tina Johnson,9.5,10.0,9.5,10.0,9.75,2,False
2,6,Bobby Bones,35,Radio Host,Sarah Miller,9.0,9.5,9.0,9.5,9.25,3,False
2,6,Emma Stone,28,Actress,Michael Chen,10.0,10.0,10.0,10.0,10.0,1,False
2,7,Jerry Rice,40,Football Player,Tina Johnson,9.5,10.0,9.5,10.0,9.75,2,True
2,7,Bobby Bones,35,Radio Host,Sarah Miller,9.5,10.0,9.5,10.0,9.75,2,False
2,7,Emma Stone,28,Actress,Michael Chen,10.0,10.0,10.0,10.0,10.0,1,False
2,8,Bobby Bones,35,Radio Host,Sarah Miller,9.5,10.0,9.5,10.0,9.75,2,False
2,8,Emma Stone,28,Actress,Michael Chen,10.0,10.0,10.0,10.0,10.0,1,False
2,9,Bobby Bones,35,Radio Host,Sarah Miller,10.0,10.0,10.0,10.0,10.0,1,False
2,9,Emma Stone,28,Actress,Michael Chen,10.0,10.0,10.0,10.0,10.0,1,False